Ticker,Empresa,Razão Social,Situação Registro,Situação Emissor,Segmento de Listagem,Atividade,Ação,Data da Cotação,Tipo de Ação,Último Preço de Fechamento,Fator de Cotação,Volume Financeiro Transacionado,Último Demonstrativo Financeiro,Setor,Subsetor,Segmento,Participação em Índices,Preço/Lucro,Preço/VPA,Preço/Receita Líquida,Preço/FCO,Preço/FCF,Preço/Ativo Total,Preço/EBIT,Preço/Capital Giro,Preço/NCAV,EV/EBIT,EV/EBITDA,EV/Receita Líquida,EV/FCO,EV/FCF,EV/Ativo Total,Market Cap Empresa,Enterprise Value,Data Demonstração Financeira Atual,Preço Atual da Ação,Data do Preço da Ação,Dividend Yield,Receita Líquida,Resultado Bruto,EBIT,Depreciação e Amortização,EBITDA,Lucro Líquido,Lucro/Ação,Menor Preço 52 semanas,Maior Preço 52 semanas,Variação 2024,Variação 1 ano,Variação 2 anos(total),Variação 2 anos(anual),Variação 3 anos(total),Variação 3 anos(anual),Variação 4 anos(total),Variação 4 anos(anual),Variação 5 anos(total),Variação 5 anos(anual),Volume Diário Médio (3 meses),Retorno s/ Capital Tangível Inicial,Retorno s/ Capital Investido Inicial,Retorno s/ Capital Tangível Inicial Pré-Impostos,Retorno s/ Capital Investido Inicial Pré-Impostos,Retorno s/ Patrimônio Líquido Inicial,Retorno s/ Ativo Inicial,Margem Bruta,Margem Líquida,Margem EBIT,Margem EBITDA,Giro do Ativo Inicial,Alavancagem Financeira,Passivo/Patrimônio Líquido,Dívida Líquida/EBITDA,Caixa e Equivalentes de Caixa,Ativo Total,Dívida de Curto Prazo,Dívida de Longo Prazo,Dívida Bruta,Dívida Líquida,Patrimônio Líquido,Valor Patrimonial da Ação,Ações Ordinárias,Ações Preferenciais,Total,Ações Ordinárias em Tesouraria,Ações Preferenciais em Tesouraria,Total em Tesouraria,Ações Ordinárias (Exceto Tesouraria),Ações Preferenciais (Exceto Tesouraria),Total (Exceto Tesouraria),Fluxo de Caixa Operacional,Fluxo de Caixa de Investimentos,Fluxo de Caixa de Financiamentos,Aumento (Redução) de Caixa e Equivalentes,CAPEX 3 meses,Fluxo de Caixa Livre 3 meses,CAPEX 12 meses,Fluxo de Caixa Livre 12 meses,Receita de Intermediação Financeira,Resultado Bruto de Intermediação Financeira,Receita de Prestação de Serviços,Não existem dados para este código de negociação,Dados existentes para códigos de negociação abaixo:,Sem dados para mostrar,Ordinária,Preferencial,Unit
LUXM3,TREVISA,TREVISA INVESTIMENTOS S.A.,ATIVO,FASE OPERACIONAL,Tradicional - BOVESPA,Part. Capital outras empresas qualquer setor econômico. Locação de conjuntos comerciais.,LUXM3,25/05/2015,ON,"R$ 10,00",1 Ação,"R$ 1,99 mil",ITR - 30/06/2024,Bens Industriais,Transporte,Transporte Hidroviário,-,"13,22","1,63","1,53","6,89","38,64","1,18","8,95","-84,01","-4,09","10,62","6,65","1,82","8,18","45,86","1,40","R$ 254,09 M","R$ 246,67 M",30/06/2024,"R$ 10,00",25/05/2015,"11,80%","R$ 29,27 M","R$ 8,02 M","R$ 4,02 M","- R$ 4,07 M","R$ 8,09 M","R$ 2,52 M","R$ 0,12","R$ 0,00","R$ 0,00",-,-,-,-,-,-,-,-,-,-,"R$ 0,00","11,43%","13,60%","17,31%","20,60%","13,52%","9,72%","29,96%","11,57%","17,11%","27,31%","0,84","1,38","0,38","-0,20","R$ 9,14 M","R$ 175,87 M","R$ 1,71 M","R$ 0,00","R$ 1,71 M","- R$ 7,43 M","R$ 127,59 M","R$ 6,14",9.192.000,11.592.000,20.784.000,0,0,0,9.192.000,11.592.000,20.784.000,"R$ 8,74 M","- R$ 6,38 M","- R$ 1,07 M","R$ 1,29 M","- R$ 6,38 M","R$ 2,36 M","- R$ 24,78 M","R$ 5,38 M",,,,,,,,,
LUXM4,TREVISA,TREVISA INVESTIMENTOS S.A.,ATIVO,FASE OPERACIONAL,Tradicional - BOVESPA,Part. Capital outras empresas qualquer setor econômico. Locação de conjuntos comerciais.,LUXM4,30/09/2024,PN,"R$ 13,99",1 Ação,"R$ 4,09 mil",ITR - 30/06/2024,Bens Industriais,Transporte,Transporte Hidroviário,-,"18,50","2,28","2,14","9,64","54,06","1,65","12,52","-117,53","-5,73","10,62","6,65","1,82","8,18","45,86","1,40","R$ 254,09 M","R$ 246,67 M",30/06/2024,"R$ 13,99",30/09/2024,"1,59%","R$ 29,27 M","R$ 8,02 M","R$ 4,02 M","- R$ 4,07 M","R$ 8,09 M","R$ 2,52 M","R$ 0,12","R$ 12,90","R$ 17,74","-11,31%","-25,31%","-28,37%","-15,62%","-28,80%","-10,82%","9,41%","2,29%","298,74%","32,05%","R$ 1,21 mil","11,43%","13,60%","17,31%","20,60%","13,52%","9,72%","29,96%","11,57%","17,11%","27,31%","0,84","1,38","0,38","-0,20","R$ 9,14 M","R$ 175,87 M","R$ 1,71 M","R$ 0,00","R$ 1,71 M","- R$ 7,43 M","R$ 127,59 M","R$ 6,14",9.192.000,11.592.000,20.784.000,0,0,0,9.192.000,11.592.000,20.784.000,"R$ 8,74 M","- R$ 6,38 M","- R$ 1,07 M","R$ 1,29 M","- R$ 6,38 M","R$ 2,36 M","- R$ 24,78 M","R$ 5,38 M",,,,,,,,,
LVTC3,WDC NETWORKS,LIVETECH DA BAHIA INDUSTRIA E COMERCIO S/A,ATIVO,FASE OPERACIONAL,Novo Mercado,A Companhia tem como atividade principal a exploração da indústria de eletrônicos. incluindo a locação e comercialização de equipamentos de informática. eletrônicos. telecomunicações e comunicação.,LVTC3,14/10/2024,ON,"R$ 3,71",1 Ação,"R$ 28,48 mil",ITR - 30/06/2024,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,"IGC, IGNM, ITAG","59,32","0,37","0,29","1,15","4,76","0,17","4,97","0,69","-0,58","3,41","0,66","0,20","0,79","3,26","0,12","R$ 239,90 M","R$ 164,58 M",30/06/2024,"R$ 3,71",14/10/2024,"0,00%","R$ 193,12 M","R$ 55,50 M","R$ 23,94 M","- R$ 50,66 M","R$ 74,61 M","R$ 8,30 M","R$ 0,13","R$ 3,32","R$ 4,40","-12,09%","-8,85%","-37,60%","-20,98%","-81,26%","-42,74%",-,-,-,-,"R$ 71,83 mil","3,22%","5,59%","4,88%","8,46%","0,63%","0,29%","23,36%","0,48%","5,76%","29,59%","0,60","2,17","1,17","-0,30","R$ 75,32 M","R$ 1,41 B","R$ 0,00","R$ 0,00","R$ 0,00","- R$ 75,32 M","R$ 650,38 M","R$ 10,06",64.663.000,0,64.663.000,1.202.000,0,1.202.000,63.461.000,0,63.461.000,"- R$ 6,58 M","- R$ 46,02 M","R$ 30,83 M","- R$ 20,39 M","- R$ 46,02 M","- R$ 52,60 M","- R$ 157,90 M","R$ 50,44 M",,,,,,,,,
LWSA3,LWSA,LWSA S.A.,ATIVO,FASE OPERACIONAL,Novo Mercado,,LWSA3,14/10/2024,ON,"R$ 4,27",1 Ação,"R$ 17,28 M",ITR - 30/06/2024,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,"GPTW, IBOVESPA, IBRA, IBRX, ICO2, IGC, IGCT, IGNM, ITAG, SMLL","1.624,41","0,88","1,91","10,75","11,90","0,62","26,41","7,20","-3,03","21,30","9,34","1,54","8,67","9,60","0,50","R$ 2,55 B","R$ 2,06 B",30/06/2024,"R$ 4,27",14/10/2024,"0,00%","R$ 335,95 M","R$ 160,04 M","R$ 25,76 M","- R$ 32,03 M","R$ 57,79 M","R$ 18,32 M","R$ 0,03","R$ 3,90","R$ 6,82","-23,34%","-30,11%","-55,50%","-33,26%","-80,72%","-42,20%","-74,92%","-29,22%",-,-,"R$ 24,37 M","-41,35%","3,31%","-62,65%","5,01%","0,05%","0,04%","46,73%","0,12%","7,23%","16,50%","0,30","1,41","0,41","-2,24","R$ 565,83 M","R$ 4,09 B","R$ 12,84 M","R$ 60,32 M","R$ 73,16 M","- R$ 492,67 M","R$ 2,89 B","R$ 4,84",596.886.478,0,596.886.478,15.206.972,0,15.206.972,581.679.506,0,581.679.506,"R$ 52,23 M","- R$ 576,17 M","- R$ 36,53 M","- R$ 560,47 M","- R$ 3,51 M","R$ 48,73 M","- R$ 23,02 M","R$ 214,09 M",,,,,,,,,
MAPT3,CEMEPE,CEMEPE INVESTIMENTOS S.A.,ATIVO,FASE OPERACIONAL,Tradicional - BOVESPA,HOLDING,MAPT3,09/09/2024,ON,"R$ 4,21",1 Ação,"R$ 1,68 mil",ITR - 30/06/2024,Outros,Outros,Outros,-,"-22,23","-0,61","0,00","-24,03",NA,"5,00","-22,23","-203,61","-0,54","-22,74","-22,74","0,00","-24,58",NA,"5,12","R$ 3,96 M","R$ 3,96 M",30/06/2024,"R$ 4,21",09/09/2024,"0,00%","R$ 0,00","R$ 0,00","- R$ 68,00 mil","R$ 0,00","- R$ 68,00 mil","- R$ 68,00 mil","- R$ 0,07","R$ 4,20","R$ 38,00","-88,92%","-85,99%","-88,77%","-66,24%","-88,62%","-47,37%","-91,58%","-46,11%","-93,52%","-41,69%","R$ 232,14","-14,99%","1,85%","-22,72%","2,80%","2,80%","-22,51%","0,00%","0,00%","0,00%","0,00%","0,00","-0,12","-1,12","0,00","R$ 0,00","R$ 773,00 mil","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","- R$ 6,38 M","- R$ 6,95",454.455,464.440,918.895,0,0,0,454.455,464.440,918.895,"- R$ 92,00 mil","R$ 0,00","R$ 92,00 mil","R$ 0,00",NA,NA,NA,NA,,,,,,,,,
MAPT4,CEMEPE,CEMEPE INVESTIMENTOS S.A.,ATIVO,FASE OPERACIONAL,Tradicional - BOVESPA,HOLDING,MAPT4,07/10/2024,PN,"R$ 4,40",1 Ação,"R$ 440,00",ITR - 30/06/2024,Outros,Outros,Outros,-,"-23,24","-0,63","0,00","-25,11",NA,"5,23","-23,24","-212,80","-0,56","-22,74","-22,74","0,00","-24,58",NA,"5,12","R$ 3,96 M","R$ 3,96 M",30/06/2024,"R$ 4,40",07/10/2024,"0,00%","R$ 0,00","R$ 0,00","- R$ 68,00 mil","R$ 0,00","- R$ 68,00 mil","- R$ 68,00 mil","- R$ 0,07","R$ 4,40","R$ 40,00","-12,00%","-60,00%","-56,90%","-34,43%","-88,41%","-50,79%","-87,96%","-41,05%","-97,05%","-49,68%","R$ 1,06 mil","-14,99%","1,85%","-22,72%","2,80%","2,80%","-22,51%","0,00%","0,00%","0,00%","0,00%","0,00","-0,12","-1,12","0,00","R$ 0,00","R$ 773,00 mil","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","- R$ 6,38 M","- R$ 6,95",454.455,464.440,918.895,0,0,0,454.455,464.440,918.895,"- R$ 92,00 mil","R$ 0,00","R$ 92,00 mil","R$ 0,00",NA,NA,NA,NA,,,,,,,,,
MATD3,MATER DEI,HOSPITAL MATER DEI S/A,ATIVO,FASE OPERACIONAL,Novo Mercado,,MATD3,14/10/2024,ON,"R$ 4,38",1 Ação,"R$ 1,31 M",ITR - 30/06/2024,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,"GPTW, IBRA, ICON, IGC, IGCT, IGNM, ITAG","-4,55","1,08","0,74","10,45","-38,55","0,34","-4,86","1,32","-0,79","-8,25","-11,93","1,25","17,76","-65,52","0,58","R$ 1,67 B","R$ 2,85 B",30/06/2024,"R$ 4,38",14/10/2024,"1,71%","R$ 585,34 M","R$ 174,89 M","- R$ 652,32 M","- R$ 27,52 M","- R$ 624,81 M","- R$ 464,27 M","- R$ 1,21","R$ 4,36","R$ 8,46","-44,52%","-42,51%","-48,59%","-28,27%","-72,52%","-34,96%",-,-,-,-,"R$ 3,12 M","-8,66%","-8,45%","-13,11%","-12,81%","-22,32%","-7,23%","31,45%","-16,15%","-15,14%","-10,47%","0,45","3,18","2,18","-4,91","R$ 269,40 M","R$ 4,93 B","R$ 75,84 M","R$ 1,36 B","R$ 1,44 B","R$ 1,17 B","R$ 1,55 B","R$ 4,06",382.329.821,0,382.329.821,2.722.834,0,2.722.834,379.606.987,0,379.606.987,"- R$ 487,00 mil","- R$ 40,08 M","R$ 147,55 M","R$ 106,99 M","- R$ 52,37 M","- R$ 52,85 M","- R$ 203,68 M","- R$ 43,44 M",,,,,,,,,
MBLY3,MOBLY,MOBLY S.A.,ATIVO,FASE OPERACIONAL,Novo Mercado,Intermediação. importação. exportação e comércio varejista de móveis e artigos domésticos em geral; serviços de montagem; comércio varejista de materiais de construção em geral; e outros.,MBLY3,14/10/2024,ON,"R$ 2,18",1 Ação,"R$ 303,25 mil",ITR - 30/06/2024,Consumo Cíclico,Utilidades Domésticas,Móveis,"IGC, IGNM, ITAG","-2,84","0,53","0,42","-5,01","-4,34","0,32","-2,70","1,09","-3,19","-1,87","-7,63","0,29","-3,46","-3,00","0,22","R$ 232,15 M","R$ 160,63 M",30/06/2024,"R$ 2,18",14/10/2024,"0,00%","R$ 136,90 M","R$ 60,61 M","- R$ 18,05 M","- R$ 16,66 M","- R$ 1,39 M","- R$ 15,03 M","- R$ 0,14","R$ 1,83","R$ 4,04","11,22%","-39,44%","-28,05%","-15,16%","-65,12%","-29,59%",-,-,-,-,"R$ 1,83 M","-11,00%","-10,80%","-16,67%","-16,36%","-15,86%","-10,05%","44,19%","-14,90%","-15,67%","-3,84%","0,67","1,66","0,66","3,40","R$ 100,84 M","R$ 720,24 M","R$ 29,33 M","R$ 0,00","R$ 29,33 M","- R$ 71,52 M","R$ 434,61 M","R$ 4,08",106.489.000,0,106.489.000,0,0,0,106.489.000,0,106.489.000,"R$ 9,83 M","- R$ 8,84 M","- R$ 14,69 M","- R$ 13,69 M","- R$ 1.000,00 mil","R$ 8,83 M","- R$ 7,18 M","- R$ 53,54 M",,,,,,,,,
MDIA3,M.DIASBRANCO,M.DIAS BRANCO S.A. IND COM DE ALIMENTOS,ATIVO,FASE OPERACIONAL,Novo Mercado,Industrialização e comércio de biscoitos; bolachas; massas; bolos; mistura para bolos; snacks; salgadinhos; torradas; farinha de trigo e outros produtos derivados do trigo; refrescos em pó; etc.,MDIA3,14/10/2024,ON,"R$ 25,22",1 Ação,"R$ 17,24 M",ITR - 30/06/2024,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos,"AGFS, GPTW, IBRA, ICON, IGC, IGCT, IGNM, INDX, ISE, ITAG, SMLL","9,04","1,10","0,83","4,48","5,25","0,66","7,54","2,39","-5,30","7,58","5,74","0,84","4,51","5,27","0,66","R$ 8,55 B","R$ 8,60 B",30/06/2024,"R$ 25,22",14/10/2024,"2,62%","R$ 2,63 B","R$ 917,31 M","R$ 247,07 M","- R$ 89,80 M","R$ 336,87 M","R$ 189,92 M","R$ 0,56","R$ 24,93","R$ 41,51","-32,83%","-28,67%","-36,77%","-20,46%","-11,00%","-3,81%","-21,14%","-5,76%","-15,95%","-3,41%","R$ 21,83 M","11,65%","9,16%","17,65%","13,88%","13,52%","8,08%","35,82%","9,20%","11,03%","14,57%","0,88","1,67","0,67","0,03","R$ 2,51 B","R$ 12,95 B","R$ 749,01 M","R$ 1,81 B","R$ 2,56 B","R$ 47,44 M","R$ 7,75 B","R$ 22,86",339.000.000,0,339.000.000,3.615.050,0,3.615.050,335.384.950,0,335.384.950,"R$ 211,44 M","- R$ 75,23 M","R$ 197,12 M","R$ 335,43 M","- R$ 55,00 M","R$ 156,44 M","- R$ 276,60 M","R$ 1,63 B",,,,,,,,,
MDNE3,MOURA DUBEUX,MOURA DUBEUX ENGENHARIA S/A,ATIVO,FASE OPERACIONAL,Novo Mercado,Compra e venda de imóveis. locação. desmembramento ou loteamento de terrenos. incorporação imobiliária ou construção de imóveis destinados à venda. participação em outras sociedades.,MDNE3,14/10/2024,ON,"R$ 15,45",1 Ação,"R$ 14,79 M",ITR - 30/06/2024,Consumo Cíclico,Construção Civil,Incorporações,"GPTW, IBRA, ICON, IGC, IGCT, IGNM, IMOB, ITAG, SMLL","6,65","0,89","1,02","-9,67","-7,52","0,36","6,34","1,38","-1,08","6,90","6,59","1,11","-10,51","-8,18","0,39","R$ 1,31 B","R$ 1,43 B",30/06/2024,"R$ 15,45",14/10/2024,"0,00%","R$ 392,13 M","R$ 143,90 M","R$ 79,24 M","- R$ 2,89 M","R$ 82,13 M","R$ 74,96 M","R$ 0,88","R$ 9,70","R$ 15,95","20,42%","55,28%","102,23%","42,14%","128,21%","31,62%","34,93%","7,77%",-,-,"R$ 7,46 M","5,48%","10,86%","8,30%","16,46%","15,68%","6,41%","35,44%","15,34%","16,08%","16,84%","0,42","2,48","1,48","0,53","R$ 214,81 M","R$ 3,63 B","R$ 78,92 M","R$ 250,01 M","R$ 328,93 M","R$ 114,12 M","R$ 1,47 B","R$ 17,26",84.909.375,0,84.909.375,516.796,0,516.796,84.392.579,0,84.392.579,"R$ 26,13 M","- R$ 5,71 M","- R$ 20,13 M","R$ 291,00 mil","- R$ 11,31 M","R$ 14,82 M","- R$ 38,64 M","- R$ 174,35 M",,,,,,,,,
MEAL3,IMC S/A,INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.,ATIVO,FASE OPERACIONAL,Novo Mercado,Setor de Varejo de Alimentação,MEAL3,14/10/2024,ON,"R$ 1,37",1 Ação,"R$ 429,81 mil",ITR - 30/06/2024,Consumo Cíclico,Hoteis e Restaurantes,Restaurante e Similares,"IGC, IGNM, ITAG","-6,04","0,37","0,18","4,68","-7,72","0,15","4,64","-58,04","-0,24","8,78","2,15","0,33","8,86","-14,61","0,28","R$ 392,33 M","R$ 742,70 M",30/06/2024,"R$ 1,37",14/10/2024,"0,00%","R$ 570,50 M","R$ 190,63 M","R$ 33,86 M","- R$ 72,61 M","R$ 106,47 M","R$ 12,20 M","R$ 0,04","R$ 1,22","R$ 2,28","-26,74%","-18,93%","-37,44%","-20,88%","-58,10%","-25,15%","-60,86%","-20,89%","-82,70%","-29,57%","R$ 921,21 mil","5,18%","3,88%","7,85%","5,88%","-6,02%","-2,48%","34,33%","-2,90%","3,78%","15,43%","0,86","2,54","1,54","1,01","R$ 176,17 M","R$ 2,68 B","R$ 72,43 M","R$ 454,11 M","R$ 526,54 M","R$ 350,37 M","R$ 1,06 B","R$ 3,69",286.369.530,0,286.369.530,926.500,0,926.500,285.443.030,0,285.443.030,"R$ 41,76 M","- R$ 26,01 M","- R$ 41,11 M","- R$ 22,18 M","- R$ 28,52 M","R$ 13,24 M","- R$ 134,66 M","- R$ 50,85 M",,,,,,,,,
MELK3,MELNICK,MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.,ATIVO,FASE OPERACIONAL,Novo Mercado,Construção. incorporação. loteamento e comercialização de condomínios e empreendimentos imobiliários de qualquer natureza.,MELK3,14/10/2024,ON,"R$ 3,57",1 Ação,"R$ 972,51 mil",ITR - 30/06/2024,Consumo Cíclico,Construção Civil,Incorporações,"IGC, IGNM, ITAG","10,93","0,63","0,72","4,99","5,08","0,30","13,67","0,55","14,93","19,61","18,07","1,03","7,16","7,29","0,43","R$ 736,38 M","R$ 1,06 B",30/06/2024,"R$ 3,57",14/10/2024,"8,14%","R$ 140,82 M","R$ 5,64 M","- R$ 37,64 M","- R$ 1,02 M","- R$ 36,63 M","- R$ 23,86 M","- R$ 0,12","R$ 3,35","R$ 4,77","-21,93%","-3,02%","5,47%","2,70%","8,93%","2,89%","-38,59%","-11,47%",-,-,"R$ 3,53 M","1,96%","2,48%","2,97%","3,76%","5,63%","2,80%","19,59%","6,54%","5,24%","5,68%","0,43","2,10","1,10","5,47","R$ 812,00 mil","R$ 2,46 B","R$ 160,14 M","R$ 160,80 M","R$ 320,93 M","R$ 320,12 M","R$ 1,17 B","R$ 5,67",206.269.341,0,206.269.341,2.308.417,0,2.308.417,203.960.924,0,203.960.924,"R$ 68,21 M","- R$ 37,75 M","- R$ 30,70 M","- R$ 233,00 mil","- R$ 477,00 mil","R$ 67,74 M","- R$ 2,45 M","R$ 145,01 M",,,,,,,,,
MERC3,MERC FINANC,MERCANTIL FINANCEIRA S.A.  CRED. FINANC. E INVEST,ATIVO,FASE OPERACIONAL,Tradicional - BOVESPA,Crédito. Financiamento e Investimento,MERC3,27/06/2023,ON,"R$ 15,28",1 Ação,"R$ 786,92 mil",ITR - 30/06/2024,Financeiro,Intermediários Financeiros,Soc. Crédito e Financiamento,-,"22,32","1,09","3,85","-50,61",,"0,56",,,,,,,,,,"R$ 234,63 M",,30/06/2024,"R$ 15,28",27/06/2023,"0,00%",,,,,,"R$ 5,75 M",,"R$ 0,00","R$ 0,00",-,"0,00%","-9,05%","-12,51%","-43,41%","-27,40%","-27,27%","-10,56%","119,03%","22,70%","R$ 0,00",,,,,"4,96%","4,48%","55,55%","17,23%",,,"0,26","1,96","0,96",,,"R$ 493,27 M",,,,,"R$ 251,97 M","R$ 13,99",10.180.000,7.830.000,18.010.000,0,0,0,10.180.000,7.830.000,18.010.000,"- R$ 96,00 mil","R$ 102,00 mil","- R$ 2,00 mil","R$ 4,00 mil",NA,,NA,,"R$ 20,82 M","R$ 14,61 M","R$ 5,90 M",,,,,,
MERC4,MERC FINANC,MERCANTIL FINANCEIRA S.A.  CRED. FINANC. E INVEST,ATIVO,FASE OPERACIONAL,Tradicional - BOVESPA,Crédito. Financiamento e Investimento,MERC4,14/10/2024,PN,"R$ 10,10",1 Ação,"R$ 1,01 mil",ITR - 30/06/2024,Financeiro,Intermediários Financeiros,Soc. Crédito e Financiamento,-,"14,76","0,72","2,54","-33,45",,"0,37",,,,,,,,,,"R$ 234,63 M",,30/06/2024,"R$ 10,10",14/10/2024,"5,24%",,,,,,"R$ 5,75 M",,"R$ 6,57","R$ 11,42","32,61%","48,16%","29,51%","13,78%","9,17%","2,95%","3,63%","0,90%","-37,20%","-8,87%","R$ 1,19 mil",,,,,"4,96%","4,48%","55,55%","17,23%",,,"0,26","1,96","0,96",,,"R$ 493,27 M",,,,,"R$ 251,97 M","R$ 13,99",10.180.000,7.830.000,18.010.000,0,0,0,10.180.000,7.830.000,18.010.000,"- R$ 96,00 mil","R$ 102,00 mil","- R$ 2,00 mil","R$ 4,00 mil",NA,,NA,,"R$ 20,82 M","R$ 14,61 M","R$ 5,90 M",,,,,,
MGEL3,MANGELS INDL,MANGELS INDUSTRIAL S.A.,ATIVO,FASE OPERACIONAL,Tradicional - BOVESPA,Produção de relaminados. trefilados e perfilados de aço. exceto arames.,MGEL3,11/03/2011,ON,"R$ 25,00",1 Ação,"R$ 2,50 mil",ITR - 30/06/2024,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,-,"-8,49","9,21","0,16","1,24","1,46","0,19","2,10","0,95","-0,25","9,77","7,48","0,74","5,77","6,80","0,91","R$ 88,84 M","R$ 673,14 M",30/06/2024,"R$ 25,00",11/03/2011,"0,92%","R$ 230,79 M","R$ 29,00 M","R$ 15,23 M","- R$ 5,36 M","R$ 20,60 M","- R$ 18,55 M","- R$ 3,21","R$ 0,00","R$ 0,00",-,-,-,-,-,-,-,-,-,-,"R$ 0,00","6,88%","7,00%","10,43%","10,61%","-53,04%","-2,17%","11,96%","-1,88%","7,60%","9,92%","1,15","47,35","46,35","6,50","R$ 44,35 M","R$ 743,47 M","R$ 118,97 M","R$ 509,68 M","R$ 628,65 M","R$ 584,30 M","R$ 15,70 M","R$ 2,71",2.067.243,3.715.969,5.783.212,0,0,0,2.067.243,3.715.969,5.783.212,"R$ 62,29 M","- R$ 8,87 M","- R$ 55,28 M","- R$ 1,85 M","- R$ 3,78 M","R$ 58,51 M","- R$ 17,55 M","R$ 99,05 M",,,,,,,,,
MGEL4,MANGELS INDL,MANGELS INDUSTRIAL S.A.,ATIVO,FASE OPERACIONAL,Tradicional - BOVESPA,Produção de relaminados. trefilados e perfilados de aço. exceto arames.,MGEL4,14/10/2024,PN,"R$ 10,00",1 Ação,"R$ 37,94 mil",ITR - 30/06/2024,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,-,"-3,40","3,68","0,06","0,50","0,58","0,08","0,84","0,38","-0,10","9,77","7,48","0,74","5,77","6,80","0,91","R$ 88,84 M","R$ 673,14 M",30/06/2024,"R$ 10,00",14/10/2024,"0,00%","R$ 230,79 M","R$ 29,00 M","R$ 15,23 M","- R$ 5,36 M","R$ 20,60 M","- R$ 18,55 M","- R$ 3,21","R$ 10,00","R$ 18,77","-25,87%","-33,33%","-34,68%","-19,16%","-38,73%","-15,05%","86,92%","16,91%","33,51%","5,93%","R$ 30,22 mil","6,88%","7,00%","10,43%","10,61%","-53,04%","-2,17%","11,96%","-1,88%","7,60%","9,92%","1,15","47,35","46,35","6,50","R$ 44,35 M","R$ 743,47 M","R$ 118,97 M","R$ 509,68 M","R$ 628,65 M","R$ 584,30 M","R$ 15,70 M","R$ 2,71",2.067.243,3.715.969,5.783.212,0,0,0,2.067.243,3.715.969,5.783.212,"R$ 62,29 M","- R$ 8,87 M","- R$ 55,28 M","- R$ 1,85 M","- R$ 3,78 M","R$ 58,51 M","- R$ 17,55 M","R$ 99,05 M",,,,,,,,,
MGLU3,MAGAZ LUIZA,MAGAZINE LUIZA S.A.,ATIVO,FASE OPERACIONAL,Novo Mercado,Somos uma plataforma de varejo multicanal.,MGLU3,14/10/2024,ON,"R$ 9,80",1 Ação,"R$ 237,81 M",ITR - 30/06/2024,Consumo Cíclico,Comércio,Eletrodomésticos,"GPTW, IBOVESPA, IBRA, IBRX, IBRX50, ICO2, ICON, IGC, IGCT, IGNM, ISE, ITAG, IVBX, SMLL","-30,87","0,66","0,19","2,15","2,26","0,21","21,22","1,83","-0,36","30,74","6,55","0,28","3,11","3,27","0,30","R$ 7,24 B","R$ 10,49 B",30/06/2024,"R$ 9,80",14/10/2024,"0,00%","R$ 9,01 B","R$ 2,78 B","R$ 331,72 M","- R$ 323,27 M","R$ 654,99 M","R$ 23,61 M","R$ 0,03","R$ 9,21","R$ 25,30","-52,20%","-46,15%","-77,57%","-52,60%","-93,08%","-58,92%","-96,18%","-55,76%","-90,67%","-37,74%","R$ 236,42 M","1,36%","1,49%","2,06%","2,25%","-2,34%","-0,66%","28,79%","-0,63%","0,91%","4,29%","1,05","3,19","2,19","2,03","R$ 1,21 B","R$ 34,98 B","R$ 57,15 M","R$ 4,40 B","R$ 4,46 B","R$ 3,25 B","R$ 10,97 B","R$ 14,85",738.995.248,0,738.995.248,3.049.991,0,3.049.991,735.945.257,0,735.945.257,"R$ 2,04 B","- R$ 362,72 M","- R$ 2,45 B","- R$ 770,88 M","- R$ 44,33 M","R$ 2,00 B","- R$ 166,61 M","R$ 3,21 B",,,,,,,,,
